source,name,lat,lng,DocNo
Bird_flu_spreading_through_Indonesia_and_China,China,35,103,15
British_report_says_the_U.K._is_preparing_%27mass_graves%27_for_humans_if_Bird_Flu_mutates,U.K.,55,-3,16
British_report_says_the_U.K._is_preparing_%27mass_graves%27_for_humans_if_Bird_Flu_mutates,Wales,52.3,-3.6,16
British_report_says_the_U.K._is_preparing_%27mass_graves%27_for_humans_if_Bird_Flu_mutates,England,51.5,-0.11,16
Chickens_at_a_Norfolk_farm_to_be_culled_after_testing_positive_for_bird_flu,Norfolk,52.66,1,17
Chickens_at_a_Norfolk_farm_to_be_culled_after_testing_positive_for_bird_flu,England,51.5,-0.11,17
Chickens_at_a_Norfolk_farm_to_be_culled_after_testing_positive_for_bird_flu,Netherlands,52.31,5.55,17
Chickens_at_a_Norfolk_farm_to_be_culled_after_testing_positive_for_bird_flu,UK,55,-3,17
Chickens_at_a_Norfolk_farm_to_be_culled_after_testing_positive_for_bird_flu,Fife,56.25,-3.2,17
China_and_Europe_face_new_avian_flu_outbreaks,China,35,103,18
China_and_Europe_face_new_avian_flu_outbreaks,Russia,60,90,18
China_and_Europe_face_new_avian_flu_outbreaks,Romania,46,25,18
China_and_Europe_face_new_avian_flu_outbreaks,Macedonia,41.6,21.7,18
China_and_Europe_face_new_avian_flu_outbreaks,Hohhot,40.81,111.65,18
China_and_Europe_face_new_avian_flu_outbreaks,Inner Mongolia,44,113,18
China_and_Europe_face_new_avian_flu_outbreaks,Moscow,55.75,37.61,18
China_and_Europe_face_new_avian_flu_outbreaks,Ural Mountains,60,60,18
China_and_Europe_face_new_avian_flu_outbreaks,Danube Delta,45.33,29.5,18
Duck_hunters_asked_to_help_monitor_spread_of_Avian_Flu,Virginia,37.5,-79,19
Duck_hunters_asked_to_help_monitor_spread_of_Avian_Flu,US,40,-100,19
Duck_hunters_asked_to_help_monitor_spread_of_Avian_Flu,Pacific,0,-160,19
Duck_hunters_asked_to_help_monitor_spread_of_Avian_Flu,Alaska,64,-150,19
Duck_hunters_asked_to_help_monitor_spread_of_Avian_Flu,Americas,19,-96,19
Duck_hunters_asked_to_help_monitor_spread_of_Avian_Flu,Pacific NorthWest,45.99,-118.49,19
Duck_hunters_asked_to_help_monitor_spread_of_Avian_Flu,Asia,29.84,89.29,19
Duck_hunters_asked_to_help_monitor_spread_of_Avian_Flu,Atlantic,0,-25,19
Duck_hunters_asked_to_help_monitor_spread_of_Avian_Flu,Europe,51,17.5,19
Duck_hunters_asked_to_help_monitor_spread_of_Avian_Flu,Africa,7.18,21.09,19
Duck_hunters_asked_to_help_monitor_spread_of_Avian_Flu,North America,54.77,-105.64,19
Europe_restricts_poultry_as_bird_flu_spreads_to_eight_European_nations,Europe,51,17.5,20
Europe_restricts_poultry_as_bird_flu_spreads_to_eight_European_nations,Greece,39,22,20
Europe_restricts_poultry_as_bird_flu_spreads_to_eight_European_nations,Bulgaria,42.75,25.5,20
Europe_restricts_poultry_as_bird_flu_spreads_to_eight_European_nations,Italy,43,12,20
Europe_restricts_poultry_as_bird_flu_spreads_to_eight_European_nations,Austria,47.33,13.33,20
Europe_restricts_poultry_as_bird_flu_spreads_to_eight_European_nations,Germany,51,9,20
Europe_restricts_poultry_as_bird_flu_spreads_to_eight_European_nations,Slovenia,46.11,14.81,20
Europe_restricts_poultry_as_bird_flu_spreads_to_eight_European_nations,Croatia,45.16,15.5,20
Europe_restricts_poultry_as_bird_flu_spreads_to_eight_European_nations,Denmark,56,10,20
Europe_restricts_poultry_as_bird_flu_spreads_to_eight_European_nations,Africa,7.18,21.09,20
Europe_restricts_poultry_as_bird_flu_spreads_to_eight_European_nations,Western Europe,50.21,7.42,20
Europe_restricts_poultry_as_bird_flu_spreads_to_eight_European_nations,Russia,60,90,20
Europe_restricts_poultry_as_bird_flu_spreads_to_eight_European_nations,Ukraine,49,32,20
Europe_restricts_poultry_as_bird_flu_spreads_to_eight_European_nations,Black Sea,44,35,20
Egyptian_woman_becomes_third_to_die_of_bird_flu_in_a_week,Egypt,26,30,21
Egyptian_woman_becomes_third_to_die_of_bird_flu_in_a_week,Menoufia,30.52,30.99,21
Egyptian_woman_becomes_third_to_die_of_bird_flu_in_a_week,Daqahliya,31.05,31.38,21
Egyptian_woman_becomes_third_to_die_of_bird_flu_in_a_week,Beni Suef,29.06,31.08,21
First_bird_flu_case_reported_in_North_Korea,North Korea,40,127,22
First_bird_flu_case_reported_in_North_Korea,Pyongyang,39.01,125.73,22
"First_bird_flu_cases_registered_In_Maharashtra,_India",India,21,78,23
"First_bird_flu_cases_registered_In_Maharashtra,_India",Maharashtra,18.97,72.82,23
"First_bird_flu_cases_registered_In_Maharashtra,_India",Mumbai,18.97,72.82,23
"First_bird_flu_cases_registered_In_Maharashtra,_India",Nandurbar,21.37,74.25,23
"First_bird_flu_cases_registered_In_Maharashtra,_India",Dhule,20.89,74.76,23
First_Iraqi_case_of_Avian_Flu_reported,Iraq,33,44,24
First_Iraqi_case_of_Avian_Flu_reported,United States,40,-100,24
First_Iraqi_case_of_Avian_Flu_reported,Cairo,30.04,31.23,24
First_Iraqi_case_of_Avian_Flu_reported,UK,55,-3,24
First_Iraqi_case_of_Avian_Flu_reported,Ranya,36.25,44.88,24
First_Iraqi_case_of_Avian_Flu_reported,Turkey,39,35,24
H5N1_bird_flu_confirmed_in_the_Netherlands,Rotterdam,51.91,4.5,25
H5N1_bird_flu_confirmed_in_the_Netherlands,Lelystad,52.5,5.48,25
H5N1_bird_flu_confirmed_in_the_Netherlands,Netherlands,52.31,5.55,25
H5N1_bird_flu_virus_reaches_Poland,Poland,52,20,26
H5N1_bird_flu_virus_reaches_Poland,Toruń,53.03,18.61,26
H5N1_bird_flu_virus_reaches_Poland,Weybridge,51.36,-0.45,26
H5N1_bird_flu_virus_reaches_Poland,England,51.5,-0.11,26
H5N1_bird_flu_virus_reaches_Poland,Pulawy,51.41,21.96,26
H5N1_confirmed_in_France,Lyon,45.76,4.84,27
H5N1_confirmed_in_France,France,47,2,27
H5N1_confirmed_in_France,European Union,51,17.5,27
H5N1_confirmed_in_France,Austria,47.33,13.33,27
H5N1_confirmed_in_France,Germany,51,9,27
H5N1_confirmed_in_France,Slovenia,46.11,14.81,27
H5N1_confirmed_in_France,Greece,39,22,27
H5N1_confirmed_in_France,Italy,43,12,27
H5N1_confirmed_in_France,Croatia,45.16,15.5,27
H5N1_confirmed_in_France,Denmark,56,10,27
H5N1_confirmed_in_France,Europe,51,17.5,27
H5N1_confirmed_in_France,Somme,49.91,2.5,27
H5N1_strain_of_Avian_Flu_found_in_the_UK,United Kingdom,55,-3,28
H5N1_strain_of_Avian_Flu_found_in_the_UK,Suffolk,52.16,1,28
H5N1_strain_of_Avian_Flu_found_in_the_UK,England,51.5,-0.11,28
H5N1_strain_of_Avian_Flu_found_in_the_UK,Cellardyke,56.21,-2.7,28
H5N1_strain_of_Avian_Flu_found_in_the_UK,Fife,56.25,-3.2,28
H5N1_strain_of_Avian_Flu_found_in_the_UK,Scotland,56,-4,28
Indonesian_Health_Ministry:_Two_new_human_clusters_of_Bird_Flu_suspected_in_Sumatra,Sumatra,0,102,29
Indonesian_Health_Ministry:_Two_new_human_clusters_of_Bird_Flu_suspected_in_Sumatra,Karo,3.1,98.5,29
Indonesian_Health_Ministry:_Two_new_human_clusters_of_Bird_Flu_suspected_in_Sumatra,Medan,3.58,98.66,29
Mass_poultry_vaccination_planned_by_China,China,35,103,30
Mass_poultry_vaccination_planned_by_China,Anhui,31.83,117,30
Mass_poultry_vaccination_planned_by_China,Hunan,27.4,111.8,30
Mass_poultry_vaccination_planned_by_China,Liaoning,41.1,122.3,30
New_avian_flu_outbreaks_reported_in_western_Europe,Germany,51,9,31
New_avian_flu_outbreaks_reported_in_western_Europe,France,47,2,31
New_avian_flu_outbreaks_reported_in_western_Europe,Saxony-Anhalt,51.97,11.47,31
New_avian_flu_outbreaks_reported_in_western_Europe,Thuringia,50.86,11.05,31
New_avian_flu_outbreaks_reported_in_western_Europe,Assenoncourt,48.77,6.79,31
New_avian_flu_outbreaks_reported_in_western_Europe,Europe,51,17.5,31
New_bird_flu_outbreaks_reported_in_Europe,Romania,46,25,32
New_bird_flu_outbreaks_reported_in_Europe,Ciocile,44.81,27.23,32
New_bird_flu_outbreaks_reported_in_Europe,Brăila,45.11,27.68,32
New_bird_flu_outbreaks_reported_in_Europe,Bumbacari,44.88,27.44,32
New_bird_flu_outbreaks_reported_in_Europe,Dudescu,44.88,27.44,32
New_bird_flu_outbreaks_reported_in_Europe,Ceamurlia de Jos,44.73,28.71,32
New_bird_flu_outbreaks_reported_in_Europe,Maliuc,45.16,29.08,32
New_bird_flu_outbreaks_reported_in_Europe,Caraorman,45.1,29.3,32
New_bird_flu_outbreaks_reported_in_Europe,Russia,60,90,32
New_bird_flu_outbreaks_reported_in_Europe,Crimea,45.3,34.4,32
Suspected_low_pathogenic_H5N1_Bird_Flu_virus_found_in_the_United_States,Michigan,44,-85,33
Suspected_low_pathogenic_H5N1_Bird_Flu_virus_found_in_the_United_States,Lake Erie,42.2,-81.2,33
Suspected_low_pathogenic_H5N1_Bird_Flu_virus_found_in_the_United_States,Mouillee,42,-83.19,33
Suspected_low_pathogenic_H5N1_Bird_Flu_virus_found_in_the_United_States,Monroe County,41.92,-83.5,33
Suspected_low_pathogenic_H5N1_Bird_Flu_virus_found_in_the_United_States,Ames,42.03,-93.62,33
Suspected_low_pathogenic_H5N1_Bird_Flu_virus_found_in_the_United_States,Iowa,42,-93,33
Suspected_low_pathogenic_H5N1_Bird_Flu_virus_found_in_the_United_States,North America,54.77,-105.64,33
Suspected_low_pathogenic_H5N1_Bird_Flu_virus_found_in_the_United_States,Asia,29.84,89.29,33
Swan_in_German_zoo_tests_positive_for_H5N1_virus,Dresden,51.03,13.73,34
Swan_in_German_zoo_tests_positive_for_H5N1_virus,Germany,51,9,34
Turkish_government_accused_of_being_too_slow_to_respond_to_bird_flu,Dogubayazit,39.54,44.08,35
Turkish_government_accused_of_being_too_slow_to_respond_to_bird_flu,Turkey,39,35,35
Wild_ducks_in_Illinois_test_positive_for_%22low_pathogenic%22_Bird_Flu_virus,Rice Lake,40.46,-89.92,36
Wild_ducks_in_Illinois_test_positive_for_%22low_pathogenic%22_Bird_Flu_virus,Fulton County,40.48,-90.21,36
Wild_ducks_in_Illinois_test_positive_for_%22low_pathogenic%22_Bird_Flu_virus,Illinois,40,-89,36
Wild_ducks_in_Illinois_test_positive_for_%22low_pathogenic%22_Bird_Flu_virus,Asia,29.84,89.29,36
Wild_ducks_in_Illinois_test_positive_for_%22low_pathogenic%22_Bird_Flu_virus,Europe,51,17.5,36
Wild_ducks_in_Illinois_test_positive_for_%22low_pathogenic%22_Bird_Flu_virus,Africa,7.18,21.09,36
9_year_old_girl_reported_to_be_latest_US_swine_flu_death,United States,40,-100,37
9_year_old_girl_reported_to_be_latest_US_swine_flu_death,Buffalo,42.90,-78.84,37
9_year_old_girl_reported_to_be_latest_US_swine_flu_death,New York,43,-75,37
At_least_71_deaths_in_Mexico_%27likely_linked%27_to_swine_flu_outbreak,Mexico,23,-102,38
At_least_71_deaths_in_Mexico_%27likely_linked%27_to_swine_flu_outbreak,Mexico City,19.43,-99.13,38
At_least_71_deaths_in_Mexico_%27likely_linked%27_to_swine_flu_outbreak,United States,40,-100,38
At_least_71_deaths_in_Mexico_%27likely_linked%27_to_swine_flu_outbreak,New Zealand,-42,174,38
"Four_people_die_after_contracting_H1N1_swine_flu_virus_in_West_Midlands,_England",England,51.5,-0.11,39
"Four_people_die_after_contracting_H1N1_swine_flu_virus_in_West_Midlands,_England",West Midlands,52.47,-2.29,39
Gaza_Strip_reports_first_swine_flu_cases,Gaza Strip,31.41,34.33,40
Gaza_Strip_reports_first_swine_flu_cases,Israel,31,35,40
Gaza_Strip_reports_first_swine_flu_cases,Gaza,31.41,34.33,40
Gaza_Strip_reports_first_swine_flu_cases,Egypt,26,30,40
Gaza_Strip_reports_first_swine_flu_cases,West Bank,32,35.38,40
Kenya_confirms_first_swine_flu_case,Kenya,1,38,41
Kenya_confirms_first_swine_flu_case,Africa,7.18,21.09,41
Kenya_confirms_first_swine_flu_case,Nyanza,-0.5,34.66,41
Kenya_confirms_first_swine_flu_case,Kisumu,-0.1,34.75,41
Kenya_confirms_first_swine_flu_case,India,21,78,41
Kenya_confirms_first_swine_flu_case,Nairobi,-1.2,36.81,41
Kenya_confirms_first_swine_flu_case,Britain,55,-3,41
Kenya_confirms_first_swine_flu_case,London,51.50,-0.12,41
Kenya_confirms_first_swine_flu_case,Kogelo,-0.01,34.34,41
Kenya_confirms_first_swine_flu_case,US,40,-100,41
Mutated_strain_of_H1N1_virus_detected_in_US_and_Norway,United States,40,-100,42
Mutated_strain_of_H1N1_virus_detected_in_US_and_Norway,Norway,61,8,42
Mutated_strain_of_H1N1_virus_detected_in_US_and_Norway,North Carolina,35.5,-80,42
Mutated_strain_of_H1N1_virus_detected_in_US_and_Norway,U.S.,40,-100,42
Mutated_strain_of_H1N1_virus_detected_in_US_and_Norway,Mexico,23,-102,42
Mutated_strain_of_H1N1_virus_detected_in_US_and_Norway,China,35,103,42
Mutated_strain_of_H1N1_virus_detected_in_US_and_Norway,Japan,35,136,42
Mutated_strain_of_H1N1_virus_detected_in_US_and_Norway,Ukraine,49,32,42
Mutated_strain_of_H1N1_virus_detected_in_US_and_Norway,Brazil,-10,-52,42
Saudi_Arabia_fears_Hajj_swine_flu_outbreak_as_four_pilgrims_die,Mecca,21.41,39.81,43
Saudi_Arabia_fears_Hajj_swine_flu_outbreak_as_four_pilgrims_die,India,21,78,43
Saudi_Arabia_fears_Hajj_swine_flu_outbreak_as_four_pilgrims_die,Sudan,15,32,43
Saudi_Arabia_fears_Hajj_swine_flu_outbreak_as_four_pilgrims_die,Morocco,32,-6,43
Saudi_Arabia_fears_Hajj_swine_flu_outbreak_as_four_pilgrims_die,Nigeria,8,10,43
Saudi_Arabia_fears_Hajj_swine_flu_outbreak_as_four_pilgrims_die,Medina,24.46,39.6,43
Saudi_Arabia_fears_Hajj_swine_flu_outbreak_as_four_pilgrims_die,Egypt,26,30,43
Saudi_Arabia_fears_Hajj_swine_flu_outbreak_as_four_pilgrims_die,Cairo,30.04,31.23,43
Saudi_Arabia_fears_Hajj_swine_flu_outbreak_as_four_pilgrims_die,Africa,7.18,21.09,43
Saudi_Arabia_fears_Hajj_swine_flu_outbreak_as_four_pilgrims_die,Middle East,29,41,43
Saudi_Arabia_fears_Hajj_swine_flu_outbreak_as_four_pilgrims_die,Saudi Arabia,24,45,43
Saudi_Arabia_fears_Hajj_swine_flu_outbreak_as_four_pilgrims_die,Iran,32,53,43
"School_closed_after_five-year-old_boy_dies_from_suspected_swine_flu_in_Buckinghamshire,_England",Buckinghamshire,51.83,-0.83,44
"School_closed_after_five-year-old_boy_dies_from_suspected_swine_flu_in_Buckinghamshire,_England",England,51.5,-0.11,44
"School_closed_after_five-year-old_boy_dies_from_suspected_swine_flu_in_Buckinghamshire,_England",Milton Keynes,52.04,-0.76,44
Six_H1N1_cases_appear_in_the_Philippines,Philippines,13,122,45
Six_H1N1_cases_appear_in_the_Philippines,United States,40,-100,45
State_of_emergency_declared_in_New_York_over_H1N1_swine_flu_virus,US,40,-100,46
State_of_emergency_declared_in_New_York_over_H1N1_swine_flu_virus,New York,43,-75,46
Swine_flu_cases_in_Fiji_reach_97,Fiji,-18,179,47
Swine_flu_cases_in_Fiji_reach_97,Suva,-18.14,178.44,47
Swine_flu_cases_in_Fiji_reach_97,Nadi,-17.8,177.41,47
Swine_flu_claims_first_UK_victim,UK,55,-3,48
Swine_flu_claims_first_UK_victim,Glasgow,55.85,-4.25,48
Swine_flu_claims_first_UK_victim,Scotland,56,-4,48
Swine_flu_claims_first_UK_victim,Paisley,55.84,-4.42,48
Swine_flu_deaths_reported_in_Argentina,Argentina,-34,-64,49
Swine_flu_deaths_reported_in_Argentina,Buenos Aires,-34.60,-58.38,49
Swine_flu_deaths_reported_in_Argentina,Chile,-30,-71,49
Swine_flu_deaths_reported_in_Argentina,South America,-14.60,-57.65,49
Swine_flu_patients_taken_to_Kenyan_capital_to_fly_home_to_UK_Sunday,Kisumu,-0.1,34.75,50
Swine_flu_patients_taken_to_Kenyan_capital_to_fly_home_to_UK_Sunday,Nairobi,-1.28,36.81,50
Swine_flu_patients_taken_to_Kenyan_capital_to_fly_home_to_UK_Sunday,United Kingdom,55,-3,50
Swine_flu_patients_taken_to_Kenyan_capital_to_fly_home_to_UK_Sunday,East Africa,-0.52,36.51,50
Swine_flu_patients_taken_to_Kenyan_capital_to_fly_home_to_UK_Sunday,Nottingham,52.95,-1.13,50
Swine_flu_patients_taken_to_Kenyan_capital_to_fly_home_to_UK_Sunday,Kenya,1,38,50
Swine_flu_patients_taken_to_Kenyan_capital_to_fly_home_to_UK_Sunday,Garissa,-0.45,39.65,50
Swine_flu_patients_taken_to_Kenyan_capital_to_fly_home_to_UK_Sunday,UK,55,-3,50
WHO:_Polio_reemerging_in_Africa,Africa,7.18,21.09,51
WHO:_Polio_reemerging_in_Africa,Zimbabwe,-20,30,51
WHO:_Polio_reemerging_in_Africa,Angola,-12.5,18.5,51
WHO:_Polio_reemerging_in_Africa,Chad,15,19,51
WHO:_Polio_reemerging_in_Africa,Democratic Republic of the Congo,-2.88,23.65,51
"Eritrea_plans_to_vaccinate_500,000_children",Eritrea,15,39,52
"Eritrea_plans_to_vaccinate_500,000_children",Ethiopia,8,38,52
"Eritrea_plans_to_vaccinate_500,000_children",Sudan,15,32,52
"Eritrea_plans_to_vaccinate_500,000_children",Africa,7.18,21.09,52
UN_says_polio_eradicated_in_Egypt_and_Niger,Egypt,26,30,53
UN_says_polio_eradicated_in_Egypt_and_Niger,Niger,16,8,53
UN_says_polio_eradicated_in_Egypt_and_Niger,United States,40,-100,53
UN_says_polio_eradicated_in_Egypt_and_Niger,Nigeria,8,10,53
Effort_on_to_eradicate_Polio_from_Asia_in_2005,Asia,29.84,89.29,54
Effort_on_to_eradicate_Polio_from_Asia_in_2005,U.S.,40,-100,54
Effort_on_to_eradicate_Polio_from_Asia_in_2005,Afghanistan,33,65,54
Effort_on_to_eradicate_Polio_from_Asia_in_2005,India,21,78,54
Effort_on_to_eradicate_Polio_from_Asia_in_2005,Pakistan,30,70,54
Blood_recipients_contract_HIV_in_Peru,Peru,-10,-76,55
Extremely_drug-resistant_tuberculosis_strain_emerges_in_South_Africa,South Africa,-30,25,56
Extremely_drug-resistant_tuberculosis_strain_emerges_in_South_Africa,KwaZulu-Natal,-29,31,56
Extremely_drug-resistant_tuberculosis_strain_emerges_in_South_Africa,Johannesburg,-26.20,28.04,56
Extremely_drug-resistant_tuberculosis_strain_emerges_in_South_Africa,Mozambique,-18.25,35,56
Extremely_drug-resistant_tuberculosis_strain_emerges_in_South_Africa,Botswana,-24.65,25.90,56
Extremely_drug-resistant_tuberculosis_strain_emerges_in_South_Africa,United States,40,-100,56
HIV-positive_man_receives_35_years_for_spitting_on_Dallas_police_officer,Dallas,32.77,-96.79,57
HIV-positive_man_receives_35_years_for_spitting_on_Dallas_police_officer,Texas,31,-100,57
HIV-positive_man_receives_35_years_for_spitting_on_Dallas_police_officer,United States,40,-100,57
HIV-positive_man_receives_35_years_for_spitting_on_Dallas_police_officer,Dallas County,32.77,-96.78,57
Libya_frees_foreign_HIV_medics,Libya,27,17,58
Libya_frees_foreign_HIV_medics,Sofia,42.7,23.33,58
Libya_frees_foreign_HIV_medics,Bulgaria,42.75,25.5,58
Libya_frees_foreign_HIV_medics,Benghazi,32.11,20.06,58
Libya_frees_foreign_HIV_medics,Qatar,25.5,51.25,58
Libya_frees_foreign_HIV_medics,France,47,2,58
Libya_frees_foreign_HIV_medics,Tripoli,32.88,13.19,58
Libya_frees_foreign_HIV_medics,Europe,51,17.5,58
