,SNE Name,lat,lng,Country Code,Type,Population,source
31,Eastern Visayas,11.51649,124.96204,PH,A,3912936,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak3
32,Talavera,15.61667,120.93333,PH,A,124829,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak3
33,Pandi,14.87462,120.96683,PH,A,89075,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak3
34,South Africa,-29,24,ZA,A,57779622,South_African_typhoid_outbreak_protest_dispersed_with_rubber_bullets
35,Delmas,-26.1466,28.68322,ZA,P,92046,South_African_typhoid_outbreak_protest_dispersed_with_rubber_bullets
36,Johannesburg,-26.20227,28.04363,ZA,P,2026469,South_African_typhoid_outbreak_protest_dispersed_with_rubber_bullets
37,Khartoum,15.55177,32.53241,SD,P,1974647,Sudan_reports_first_bird_flu_case
38,Sudan,16,30,SD,A,41801533,Sudan_reports_first_bird_flu_case
39,South Africa,-29,24,ZA,A,57779622,Sudan_reports_first_bird_flu_case
40,Al Jazīrah,25.35,55.36667,AE,P,0,Sudan_reports_first_bird_flu_case
41,Egypt,27,30,EG,A,98423595,Sudan_reports_first_bird_flu_case
42,Etoumbi,-0.23109,14.71175,CG,A,0,Ebola_outbreak_in_Congo
43,Zaire,-6.58717,13.51966,AO,A,567225,Ebola_outbreak_in_Congo
44,Cuvette-Ouest,0,14.5,CG,A,50392,Ebola_outbreak_in_Congo
45,Congo,6.75,14.56667,CM,P,0,Ebola_outbreak_in_Congo
46,Mbomo,-2.5875,13.59889,CG,P,0,Ebola_outbreak_in_Congo
47,Gabon,-1,11.75,GA,A,2119275,Ebola_outbreak_in_Congo
48,Uganda,1.25,32.5,UG,A,42723139,Ebola_outbreak_in_Congo
49,England,52.16045,-0.70312,GB,A,56286961,Fake_impotence_drugs_linked_to_low_blood_sugar_outbreak
50,Midland,33.86113,-114.80219,US,P,0,Fake_impotence_drugs_linked_to_low_blood_sugar_outbreak
51,Singapore,1.36667,103.8,SG,A,5638676,Fake_impotence_drugs_linked_to_low_blood_sugar_outbreak
52,Hong Kong,22.27832,114.17469,HK,P,7482500,Fake_impotence_drugs_linked_to_low_blood_sugar_outbreak
53,Ny,59.71667,12.46667,SE,A,780,International_experts_probe_deadly_Ebola_Reston_virus_outbreak_in_Philippine_pigs
54,Mindanao,15.45,-87.68333,HN,P,0,International_experts_probe_deadly_Ebola_Reston_virus_outbreak_in_Philippine_pigs
55,Bulacan,6.56306,125.41,PH,P,0,International_experts_probe_deadly_Ebola_Reston_virus_outbreak_in_Philippine_pigs
56,Philippines,13.40882,122.56155,PH,A,106651922,International_experts_probe_deadly_Ebola_Reston_virus_outbreak_in_Philippine_pigs
57,Manaoag,17.17233,121.76469,PH,P,0,International_experts_probe_deadly_Ebola_Reston_virus_outbreak_in_Philippine_pigs
58,Pongpong,16.58333,120.48333,PH,P,0,International_experts_probe_deadly_Ebola_Reston_virus_outbreak_in_Philippine_pigs
59,United States,39.76,-98.5,US,A,327167434,International_experts_probe_deadly_Ebola_Reston_virus_outbreak_in_Philippine_pigs
60,Kasai,9.60826,7.87039,NG,P,0,International_experts_probe_deadly_Ebola_Reston_virus_outbreak_in_Philippine_pigs
61,Province of South Cotabato,6.25218,125.0006,PH,A,767254,International_experts_probe_deadly_Ebola_Reston_virus_outbreak_in_Philippine_pigs
62,Province of Nueva Ecija,15.58333,121,PH,A,1853853,International_experts_probe_deadly_Ebola_Reston_virus_outbreak_in_Philippine_pigs
63,Central Luzon,15.30714,120.79762,PH,A,10137737,International_experts_probe_deadly_Ebola_Reston_virus_outbreak_in_Philippine_pigs
64,DR Congo,-2.5,23.5,CD,A,84068091,International_experts_probe_deadly_Ebola_Reston_virus_outbreak_in_Philippine_pigs
65,Ås,59.66366,10.79101,NO,A,15863,International_experts_probe_deadly_Ebola_Reston_virus_outbreak_in_Philippine_pigs
66,Province of Davao del Sur,6.79281,125.30182,PH,A,822406,International_experts_probe_deadly_Ebola_Reston_virus_outbreak_in_Philippine_pigs
67,Houston,31.31773,-95.42268,US,A,23732,International_experts_probe_deadly_Ebola_Reston_virus_outbreak_in_Philippine_pigs
68,Virginia,37.54812,-77.44675,US,A,7642884,International_experts_probe_deadly_Ebola_Reston_virus_outbreak_in_Philippine_pigs
69,Rome,34.25704,-85.16467,US,P,36323,International_experts_probe_deadly_Ebola_Reston_virus_outbreak_in_Philippine_pigs
70,Santa Maria,14.83333,121,PH,A,256454,International_experts_probe_deadly_Ebola_Reston_virus_outbreak_in_Philippine_pigs
71,Italy,42.83333,12.83333,IT,A,60431283,International_experts_probe_deadly_Ebola_Reston_virus_outbreak_in_Philippine_pigs
72,Pangasinan,10.58336,122.5178,PH,P,0,International_experts_probe_deadly_Ebola_Reston_virus_outbreak_in_Philippine_pigs
73,Reston,38.96872,-77.3411,US,P,58404,International_experts_probe_deadly_Ebola_Reston_virus_outbreak_in_Philippine_pigs
74,Talavera,15.61667,120.93333,PH,A,124829,International_experts_probe_deadly_Ebola_Reston_virus_outbreak_in_Philippine_pigs
75,Manila,14.6042,120.9822,PH,P,1600000,International_experts_probe_deadly_Ebola_Reston_virus_outbreak_in_Philippine_pigs
76,Laguna,35.03671,-107.38282,US,P,1241,International_experts_probe_deadly_Ebola_Reston_virus_outbreak_in_Philippine_pigs
77,Singapore,-24.56233,29.31502,ZA,P,0,International_experts_probe_deadly_Ebola_Reston_virus_outbreak_in_Philippine_pigs
78,Pandi,14.87462,120.96683,PH,A,89075,International_experts_probe_deadly_Ebola_Reston_virus_outbreak_in_Philippine_pigs
79,United States,39.76,-98.5,US,A,327167434,Tourists_evacuated_following_shootout_between_Mexican_army_and_drug_hitmen
80,Mexico,23,-102,MX,A,126190788,Tourists_evacuated_following_shootout_between_Mexican_army_and_drug_hitmen
81,Mexico City,19.42847,-99.12766,MX,P,12294193,Tourists_evacuated_following_shootout_between_Mexican_army_and_drug_hitmen
82,Ica,-14.3325,-75.49972,PE,A,709556,Tourists_evacuated_following_shootout_between_Mexican_army_and_drug_hitmen
83,Guerrero,17.66667,-100,MX,A,3237579,Tourists_evacuated_following_shootout_between_Mexican_army_and_drug_hitmen
84,Acapulco,16.11417,-91.51028,MX,P,185,Tourists_evacuated_following_shootout_between_Mexican_army_and_drug_hitmen
85,United States,39.76,-98.5,US,A,327167434,Extremely_drug-resistant_tuberculosis_strain_emerges_in_South_Africa
86,South Africa,-29,24,ZA,A,57779622,Extremely_drug-resistant_tuberculosis_strain_emerges_in_South_Africa
87,KwaZulu-Natal,-29,30,ZA,A,10154469,Extremely_drug-resistant_tuberculosis_strain_emerges_in_South_Africa
88,Mozambique,-18.25,35,MZ,A,29495962,Extremely_drug-resistant_tuberculosis_strain_emerges_in_South_Africa
89,Botswana,-24.28333,30.55,ZA,P,0,Extremely_drug-resistant_tuberculosis_strain_emerges_in_South_Africa
90,Johannesburg,-26.20227,28.04363,ZA,P,2026469,Extremely_drug-resistant_tuberculosis_strain_emerges_in_South_Africa
91,Kashmir,28.52261,65.40442,PK,P,0,New_Zealand_journalists_fall_ill_on_testing_water_filter
92,New Zealand,-42,174,NZ,A,4885500,New_Zealand_journalists_fall_ill_on_testing_water_filter
93,India,22,79,IN,A,1352617328,New_Zealand_journalists_fall_ill_on_testing_water_filter
94,Christchurch,-43.53333,172.63333,NZ,P,363926,New_Zealand_journalists_fall_ill_on_testing_water_filter
95,United States,39.76,-98.5,US,A,327167434,"Envelopes_containing_white_powder_sent_to_Church_of_Scientology_locations_in_southern_California,_USA"
96,Tustin,44.16276,-88.89234,US,P,117,"Envelopes_containing_white_powder_sent_to_Church_of_Scientology_locations_in_southern_California,_USA"
97,San Fernando Valley Division,34.25117,-118.41861,US,A,0,"Envelopes_containing_white_powder_sent_to_Church_of_Scientology_locations_in_southern_California,_USA"
98,Los Angeles,34.19801,-118.26102,US,A,9818605,"Envelopes_containing_white_powder_sent_to_Church_of_Scientology_locations_in_southern_California,_USA"
99,Santa Monica,34.01949,-118.49138,US,P,93220,"Envelopes_containing_white_powder_sent_to_Church_of_Scientology_locations_in_southern_California,_USA"
100,California,37.25022,-119.75126,US,A,39512223,"Envelopes_containing_white_powder_sent_to_Church_of_Scientology_locations_in_southern_California,_USA"
101,Hollywood,34.09834,-118.32674,US,P,167664,"Envelopes_containing_white_powder_sent_to_Church_of_Scientology_locations_in_southern_California,_USA"
102,Glendale,33.53865,-112.18599,US,P,240126,"Envelopes_containing_white_powder_sent_to_Church_of_Scientology_locations_in_southern_California,_USA"
103,United Kingdom,54.75844,-2.69531,GB,A,66488991,"Bird_Flu_confirmed_in_1,000_UK_turkeys"
104,Ukraine,49,32,UA,A,44622516,"Bird_Flu_confirmed_in_1,000_UK_turkeys"
105,Suffolk,52.16667,1,GB,A,745274,"Bird_Flu_confirmed_in_1,000_UK_turkeys"
106,Norfolk,52.66667,1,GB,A,892870,"Bird_Flu_confirmed_in_1,000_UK_turkeys"
107,Weybridge,51.37178,-0.45975,GB,P,19463,"Bird_Flu_confirmed_in_1,000_UK_turkeys"
108,Niger,18,9,NE,A,22442948,Thousands_displaced_after_heavy_flooding_in_Burkina_Faso
109,Ouagadougou,12.36566,-1.53388,BF,P,1086505,Thousands_displaced_after_heavy_flooding_in_Burkina_Faso
110,Guinea,10.83333,-10.66667,GN,A,12414318,Thousands_displaced_after_heavy_flooding_in_Burkina_Faso
111,Burkina Faso,12.5,-1.66667,BF,A,19751535,Thousands_displaced_after_heavy_flooding_in_Burkina_Faso
112,Senegal,14.5,-14.25,SN,A,15854360,Thousands_displaced_after_heavy_flooding_in_Burkina_Faso
113,Benin,5.60744,-0.99696,GH,P,0,Thousands_displaced_after_heavy_flooding_in_Burkina_Faso
114,Ghana,8.1,-1.2,GH,A,29767108,Thousands_displaced_after_heavy_flooding_in_Burkina_Faso
115,Australia,-25,135,AU,A,24992369,Australia_appeals_for_no_execution_in_Indonesian_drug_case
116,Jakarta,-6.21462,106.84513,ID,P,8540121,Australia_appeals_for_no_execution_in_Indonesian_drug_case
117,Indonesia,-5,120,ID,A,267663435,Australia_appeals_for_no_execution_in_Indonesian_drug_case
118,Gold Coast,-28.00029,153.43088,AU,P,591473,Australia_appeals_for_no_execution_in_Indonesian_drug_case
119,Bali,-8.5,115,ID,A,3890757,Australia_appeals_for_no_execution_in_Indonesian_drug_case
120,Germany,51.5,10.5,DE,A,82927922,US_military_to_buy_anthrax_and_bioweapons_production_systems
121,Ås,59.66366,10.79101,NO,A,15863,US_military_to_buy_anthrax_and_bioweapons_production_systems
122,Houston,31.31773,-95.42268,US,A,23732,US_military_to_buy_anthrax_and_bioweapons_production_systems
123,Utah,39.25024,-111.75103,US,A,2427340,US_military_to_buy_anthrax_and_bioweapons_production_systems
124,United Kingdom,54.75844,-2.69531,GB,A,66488991,WHO_director:_Pandemic_alert_level_will_not_be_raised
125,United States,39.76,-98.5,US,A,327167434,WHO_director:_Pandemic_alert_level_will_not_be_raised
126,Mexico,23,-102,MX,A,126190788,WHO_director:_Pandemic_alert_level_will_not_be_raised
127,Japan,35.68536,139.75309,JP,A,126529100,WHO_director:_Pandemic_alert_level_will_not_be_raised
128,Ukraine,49,32,UA,A,44622516,WHO_director:_Pandemic_alert_level_will_not_be_raised
129,China,25.51224,-99.00457,MX,A,0,WHO_director:_Pandemic_alert_level_will_not_be_raised
130,Bulacan,6.56306,125.41,PH,P,0,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak1
131,Central Luzon,15.30714,120.79762,PH,A,10137737,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak1
132,Pandi,14.87462,120.96683,PH,A,89075,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak1
133,Texas,36.74791,-101.49001,US,A,20640,US_soldier_who_died_after_serving_in_Liberia_tests_negative_for_Ebola
134,South Africa,-29,24,ZA,A,57779622,US_soldier_who_died_after_serving_in_Liberia_tests_negative_for_Ebola
135,Houston,31.31773,-95.42268,US,A,23732,US_soldier_who_died_after_serving_in_Liberia_tests_negative_for_Ebola
136,Liberia,6.5,-9.5,LR,A,4818977,US_soldier_who_died_after_serving_in_Liberia_tests_negative_for_Ebola
137,Zaire,-6.58717,13.51966,AO,A,567225,"Angola:_Marburg_virus_still_spreading,_180_dead"
138,DR Congo,-2.5,23.5,CD,A,84068091,"Angola:_Marburg_virus_still_spreading,_180_dead"
139,Uige Municipality,-7.57488,15.06775,AO,A,0,"Angola:_Marburg_virus_still_spreading,_180_dead"
140,Luanda,-8.91667,13.33924,AO,A,6542942,"Angola:_Marburg_virus_still_spreading,_180_dead"
141,Mozambique,-18.25,35,MZ,A,29495962,"Angola:_Marburg_virus_still_spreading,_180_dead"
142,Angola,-12.5,18.5,AO,A,30809762,"Angola:_Marburg_virus_still_spreading,_180_dead"
143,Greece,39,22,GR,A,10727668,Europe_restricts_poultry_as_bird_flu_spreads_to_eight_European_nations
144,Germany,51.5,10.5,DE,A,82927922,Europe_restricts_poultry_as_bird_flu_spreads_to_eight_European_nations
145,Slovenia,46.08333,15,SI,A,2067372,Europe_restricts_poultry_as_bird_flu_spreads_to_eight_European_nations
146,Austria,47.33333,13.33333,AT,A,8847037,Europe_restricts_poultry_as_bird_flu_spreads_to_eight_European_nations
147,Croatia,45.16667,15.5,HR,A,4089400,Europe_restricts_poultry_as_bird_flu_spreads_to_eight_European_nations
148,Ukraine,49,32,UA,A,44622516,Europe_restricts_poultry_as_bird_flu_spreads_to_eight_European_nations
149,Bulgaria,42.66667,25.25,BG,A,7000039,Europe_restricts_poultry_as_bird_flu_spreads_to_eight_European_nations
150,South Africa,-29,24,ZA,A,57779622,Europe_restricts_poultry_as_bird_flu_spreads_to_eight_European_nations
151,Russia,60,100,RU,A,144478050,Europe_restricts_poultry_as_bird_flu_spreads_to_eight_European_nations
152,Italy,42.83333,12.83333,IT,A,60431283,Europe_restricts_poultry_as_bird_flu_spreads_to_eight_European_nations
153,Denmark,56,10,DK,A,5797446,Europe_restricts_poultry_as_bird_flu_spreads_to_eight_European_nations
154,United States,39.76,-98.5,US,A,327167434,Salmonella_outbreak_sickens_over_one_thousand_in_United_States
155,Texas,36.74791,-101.49001,US,A,20640,Salmonella_outbreak_sickens_over_one_thousand_in_United_States
156,New Mexico,34.50034,-106.00085,US,A,1912684,Salmonella_outbreak_sickens_over_one_thousand_in_United_States
157,Illinois,40.00032,-89.25037,US,A,12772888,Salmonella_outbreak_sickens_over_one_thousand_in_United_States
158,Canada,60.10867,-113.64258,CA,A,37058856,Salmonella_outbreak_sickens_over_one_thousand_in_United_States
159,Kvemo-Zonkari,42.28861,44.16987,GE,P,0,PM_of_Georgia_dies_of_gas_poisoning
160,Georgia,32.75042,-83.50018,US,A,8975842,PM_of_Georgia_dies_of_gas_poisoning
161,Michigan,44.25029,-85.50033,US,A,9883360,Anthrax_scare_closes_Michigan_newspaper_office
162,Ås,59.66366,10.79101,NO,A,15863,Anthrax_scare_closes_Michigan_newspaper_office
163,Lansing,42.73253,-84.55553,US,P,115056,Anthrax_scare_closes_Michigan_newspaper_office
164,Midland,31.86917,-102.03162,US,A,136872,Anthrax_scare_closes_Michigan_newspaper_office
165,Clark,40.41036,-91.7384,US,A,7139,B.B._King%27s_daughters_allege_blues_musician_was_poisoned
166,Nevada,39.25021,-116.75119,US,A,2399532,B.B._King%27s_daughters_allege_blues_musician_was_poisoned
167,Las Vegas,36.17497,-115.13722,US,P,623747,B.B._King%27s_daughters_allege_blues_musician_was_poisoned
168,England,52.16045,-0.70312,GB,A,56286961,H5N1_bird_flu_virus_reaches_Poland
169,Toruń,52.51829,20.71985,PL,P,0,H5N1_bird_flu_virus_reaches_Poland
170,Poland,52,20,PL,A,37978548,H5N1_bird_flu_virus_reaches_Poland
171,Weybridge,51.37178,-0.45975,GB,P,19463,H5N1_bird_flu_virus_reaches_Poland
172,Wedza,-18.61731,31.5736,ZW,P,0,"With_arrival_of_rainy_season,_perennial_scramble_in_Zimbabwe_for_seed,_fertilizer"
173,Zimbabwe,-20.26667,30.91667,ZW,P,0,"With_arrival_of_rainy_season,_perennial_scramble_in_Zimbabwe_for_seed,_fertilizer"
174,Mashonaland East Province,-17.96667,31.66667,ZW,A,1167065,"With_arrival_of_rainy_season,_perennial_scramble_in_Zimbabwe_for_seed,_fertilizer"
175,Midlands,-17.90444,31.01417,ZW,P,0,"With_arrival_of_rainy_season,_perennial_scramble_in_Zimbabwe_for_seed,_fertilizer"
176,Cambodia,13,105,KH,A,16249798,International_team_of_scientists_studies_malaria_drug_resistance_in_Southeast_Asia
177,Laos,18,105,LA,A,7061507,International_team_of_scientists_studies_malaria_drug_resistance_in_Southeast_Asia
178,Pingilikani,-3.7742,39.77375,KE,P,0,International_team_of_scientists_studies_malaria_drug_resistance_in_Southeast_Asia
179,United States,39.76,-98.5,US,A,327167434,International_team_of_scientists_studies_malaria_drug_resistance_in_Southeast_Asia
180,Vietnam,16.16667,107.83333,VN,A,95540395,International_team_of_scientists_studies_malaria_drug_resistance_in_Southeast_Asia
181,Myanmar,21,96,MM,A,53708395,International_team_of_scientists_studies_malaria_drug_resistance_in_Southeast_Asia
182,Shwe Kyin,22.73328,95.93972,MM,P,0,International_team_of_scientists_studies_malaria_drug_resistance_in_Southeast_Asia
183,Kinshasa,-4.32758,15.31357,CD,P,7785965,International_team_of_scientists_studies_malaria_drug_resistance_in_Southeast_Asia
184,South Africa,-29,24,ZA,A,57779622,International_team_of_scientists_studies_malaria_drug_resistance_in_Southeast_Asia
185,Ukraine,49,32,UA,A,44622516,International_team_of_scientists_studies_malaria_drug_resistance_in_Southeast_Asia
186,Attapu,14.66667,107,LA,A,114300,International_team_of_scientists_studies_malaria_drug_resistance_in_Southeast_Asia
187,Phuoc Vinh,11.2897,106.79621,VN,P,0,International_team_of_scientists_studies_malaria_drug_resistance_in_Southeast_Asia
188,DR Congo,-2.5,23.5,CD,A,84068091,International_team_of_scientists_studies_malaria_drug_resistance_in_Southeast_Asia
189,Kenya,1,38,KE,A,51393010,International_team_of_scientists_studies_malaria_drug_resistance_in_Southeast_Asia
190,Pailin,12.86667,102.6,KH,A,70482,International_team_of_scientists_studies_malaria_drug_resistance_in_Southeast_Asia
191,Australia,-25,135,AU,A,24992369,72_hour_Australia_wide_ban_on_horse_movements
192,New South Wales,-33,146,AU,A,8046100,72_hour_Australia_wide_ban_on_horse_movements
193,New Zealand,-42,174,NZ,A,4885500,72_hour_Australia_wide_ban_on_horse_movements
194,Brunswick Heads,-28.54003,153.54573,AU,P,2032,72_hour_Australia_wide_ban_on_horse_movements
195,Victoria,-37,145,AU,A,6526400,72_hour_Australia_wide_ban_on_horse_movements
196,Sydney,-33.86785,151.20732,AU,P,4627345,72_hour_Australia_wide_ban_on_horse_movements
197,Australia,-25,135,AU,A,24992369,Kenyan_cattle_rustlers_kill_eleven
198,New South Wales,-33,146,AU,A,8046100,Kenyan_cattle_rustlers_kill_eleven
199,New Zealand,-42,174,NZ,A,4885500,Kenyan_cattle_rustlers_kill_eleven
200,Brunswick Heads,-28.54003,153.54573,AU,P,2032,Kenyan_cattle_rustlers_kill_eleven
201,Victoria,-37,145,AU,A,6526400,Kenyan_cattle_rustlers_kill_eleven
202,Sydney,-33.86785,151.20732,AU,P,4627345,Kenyan_cattle_rustlers_kill_eleven
203,Isiolo,0.98333,38.53333,KE,A,143294,Kenyan_cattle_rustlers_kill_eleven
204,Kisima,0.94807,36.76599,KE,P,0,Kenyan_cattle_rustlers_kill_eleven
205,Kenya,1,38,KE,A,51393010,Kenyan_cattle_rustlers_kill_eleven
206,Australia,-25,135,AU,A,24992369,Toxic_wetlands_may_be_cause_of_thousands_of_bird_deaths_in_Western_Australia
207,Esperance,-33.85919,121.89164,AU,P,2263,Toxic_wetlands_may_be_cause_of_thousands_of_bird_deaths_in_Western_Australia
208,Temryuk,45.27055,37.38716,RU,P,36546,Bird_flu_outbreak_kills_birds_in_Krasnodar_region
209,Anapa,44.89497,37.31623,RU,P,53600,Bird_flu_outbreak_kills_birds_in_Krasnodar_region
210,Krasnodar,45.04484,38.97603,RU,P,649851,Bird_flu_outbreak_kills_birds_in_Krasnodar_region
211,Russia,60,100,RU,A,144478050,Bird_flu_outbreak_kills_birds_in_Krasnodar_region
212,Zimbabwe,-20.26667,30.91667,ZW,P,0,"Number_of_cholera_cases_in_Zimbabwe_reaches_80,000"
213,South Africa,-29,24,ZA,A,57779622,"Number_of_cholera_cases_in_Zimbabwe_reaches_80,000"
214,Zambia,-14.33333,28.5,ZM,A,17351822,"Number_of_cholera_cases_in_Zimbabwe_reaches_80,000"
215,South Africa,-29,24,ZA,A,57779622,"Number_of_cholera_cases_in_Zimbabwe_reaches_80,000"
216,Malawi,-13.5,34,MW,A,17563749,"Number_of_cholera_cases_in_Zimbabwe_reaches_80,000"
217,Mozambique,-18.25,35,MZ,A,29495962,"Number_of_cholera_cases_in_Zimbabwe_reaches_80,000"
218,Queensland,-20,145,AU,A,5052800,Horse_flu_infects_Australian_thoroughbreds
219,Brunswick Heads,-28.54003,153.54573,AU,P,2032,Horse_flu_infects_Australian_thoroughbreds
220,Melbourne,-37.814,144.96332,AU,P,4246375,Horse_flu_infects_Australian_thoroughbreds
221,Sydney,-33.86785,151.20732,AU,P,4627345,Horse_flu_infects_Australian_thoroughbreds
222,Randwick,-33.91667,151.25,AU,A,142310,Horse_flu_infects_Australian_thoroughbreds
223,United States,39.76,-98.5,US,A,327167434,"Drug-resistant_flu_rising,_says_WHO"
224,Norway,62,10,NO,A,5314336,"Drug-resistant_flu_rising,_says_WHO"
225,Japan,35.68536,139.75309,JP,A,126529100,"Drug-resistant_flu_rising,_says_WHO"
226,Hong Kong,22.27832,114.17469,HK,P,7482500,"Drug-resistant_flu_rising,_says_WHO"
227,Canada,60.10867,-113.64258,CA,A,37058856,"Drug-resistant_flu_rising,_says_WHO"
228,Massachusetts,42.36565,-71.10832,US,A,6433422,Meteorite_blamed_for_mysterious_illness_in_Peru
229,Earth,34.23314,-102.41075,US,P,1012,Meteorite_blamed_for_mysterious_illness_in_Peru
230,Puno,-15.905,-70.06368,PE,A,0,Meteorite_blamed_for_mysterious_illness_in_Peru
231,London,39.88645,-83.44825,US,P,10060,Meteorite_blamed_for_mysterious_illness_in_Peru
232,Peru,40.75365,-86.06888,US,P,11060,Meteorite_blamed_for_mysterious_illness_in_Peru
233,Desaguadero,-16.56556,-69.04167,PE,P,5329,Meteorite_blamed_for_mysterious_illness_in_Peru
234,Bolivia,-17,-65,BO,A,11353142,Meteorite_blamed_for_mysterious_illness_in_Peru
235,Washington,44.27342,-72.6149,US,A,59534,Mad_Cow_disease_confirmed_in_U.S.
236,Texas,36.74791,-101.49001,US,A,20640,Mad_Cow_disease_confirmed_in_U.S.
237,Iowa,42.00027,-93.50049,US,A,2955010,Mad_Cow_disease_confirmed_in_U.S.
238,Alabama,32.75041,-86.75026,US,A,4530315,Mad_Cow_disease_confirmed_in_U.S.
239,Sweden,62,15,SE,A,10183175,Mad_Cow_disease_confirmed_in_U.S.
240,Ås,59.66366,10.79101,NO,A,15863,Mad_Cow_disease_confirmed_in_U.S.
241,Georgia,32.75042,-83.50018,US,A,8975842,Mad_Cow_disease_confirmed_in_U.S.
242,Ames,42.03471,-93.61994,US,P,65060,Mad_Cow_disease_confirmed_in_U.S.
243,Canada,60.10867,-113.64258,CA,A,37058856,Mad_Cow_disease_confirmed_in_U.S.
244,Pennsylvania,40.8,-77.7,US,A,12440621,%22Low_pathogenic%22_H5N1_Bird_Flu_virus_found_in_wild_ducks_in_Maryland_and_Pennsylvania
245,South Africa,-29,24,ZA,A,57779622,%22Low_pathogenic%22_H5N1_Bird_Flu_virus_found_in_wild_ducks_in_Maryland_and_Pennsylvania
246,Crawford,41.6847,-80.10628,US,A,88765,%22Low_pathogenic%22_H5N1_Bird_Flu_virus_found_in_wild_ducks_in_Maryland_and_Pennsylvania
