SNE Name,lat,lng,Country Code,Type,Population,source
Cabanatuan City,15.49127,120.99166,PH,A,302231,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak2
Pandi,14.87462,120.96683,PH,A,89075,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak2
Pangasinan,10.58336,122.5178,PH,P,0,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak2
Quezon City,14.6488,121.0509,PH,P,2761720,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak3
Balintawak,10.13096,124.32493,PH,P,0,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak3
Bulacan,7.57528,122.88556,PH,P,0,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak3
Pandi,14.87462,120.96683,PH,A,89075,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak3
Balintawak,10.13096,124.32493,PH,P,0,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak3
Quezon City,14.6488,121.0509,PH,P,2761720,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak3
Bulacan,7.57528,122.88556,PH,P,0,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak3
Pandi,14.87462,120.96683,PH,A,89075,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak3
Talavera,15.61667,120.93333,PH,A,124829,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak3
Balintawak,10.13096,124.32493,PH,P,0,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak3
Quezon City,14.6488,121.0509,PH,P,2761720,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak3
Bulacan,7.57528,122.88556,PH,P,0,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak3
Eastern Visayas,11.51649,124.96204,PH,A,3912936,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak3
Pandi,14.87462,120.96683,PH,A,89075,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak3
Talavera,15.61667,120.93333,PH,A,124829,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak3
Balintawak,10.13096,124.32493,PH,P,0,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak3
Quezon City,14.6488,121.0509,PH,P,2761720,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak3
Bulacan,7.57528,122.88556,PH,P,0,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak3
Tacloban,9.21861,123.5525,PH,P,0,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak3
Eastern Visayas,11.51649,124.96204,PH,A,3912936,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak3
Pandi,14.87462,120.96683,PH,A,89075,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak3
Talavera,15.61667,120.93333,PH,A,124829,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak3
Balintawak,10.13096,124.32493,PH,P,0,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak3
Babatngon,11.4238,124.8449,PH,P,6237,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak3
Quezon City,14.6488,121.0509,PH,P,2761720,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak3
Bulacan,7.57528,122.88556,PH,P,0,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak3
Tacloban,9.21861,123.5525,PH,P,0,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak3
Eastern Visayas,11.51649,124.96204,PH,A,3912936,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak3
Pandi,14.87462,120.96683,PH,A,89075,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak3
Talavera,15.61667,120.93333,PH,A,124829,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak3
Texas,37.31731,-91.96505,US,A,26008,US_soldier_who_died_after_serving_in_Liberia_tests_negative_for_Ebola
Liberia,6.5,-9.5,LR,A,4818977,US_soldier_who_died_after_serving_in_Liberia_tests_negative_for_Ebola
Texas,37.31731,-91.96505,US,A,26008,US_soldier_who_died_after_serving_in_Liberia_tests_negative_for_Ebola
Liberia,6.5,-9.5,LR,A,4818977,US_soldier_who_died_after_serving_in_Liberia_tests_negative_for_Ebola
Texas,37.31731,-91.96505,US,A,26008,US_soldier_who_died_after_serving_in_Liberia_tests_negative_for_Ebola
Fort Hood,31.13489,-97.77561,US,P,29589,US_soldier_who_died_after_serving_in_Liberia_tests_negative_for_Ebola
San Agustín,13.45617,-88.58978,SV,A,0,US_soldier_who_died_after_serving_in_Liberia_tests_negative_for_Ebola
Liberia,6.5,-9.5,LR,A,4818977,US_soldier_who_died_after_serving_in_Liberia_tests_negative_for_Ebola
Fort Hood,31.13489,-97.77561,US,P,29589,US_soldier_who_died_after_serving_in_Liberia_tests_negative_for_Ebola
San Agustín,13.45617,-88.58978,SV,A,0,US_soldier_who_died_after_serving_in_Liberia_tests_negative_for_Ebola
Liberia,6.5,-9.5,LR,A,4818977,US_soldier_who_died_after_serving_in_Liberia_tests_negative_for_Ebola
Texas,37.31731,-91.96505,US,A,26008,US_soldier_who_died_after_serving_in_Liberia_tests_negative_for_Ebola
Fort Hood,31.13489,-97.77561,US,P,29589,US_soldier_who_died_after_serving_in_Liberia_tests_negative_for_Ebola
San Agustín,13.45617,-88.58978,SV,A,0,US_soldier_who_died_after_serving_in_Liberia_tests_negative_for_Ebola
South Africa,-29,24,ZA,A,57779622,US_soldier_who_died_after_serving_in_Liberia_tests_negative_for_Ebola
Liberia,6.5,-9.5,LR,A,4818977,US_soldier_who_died_after_serving_in_Liberia_tests_negative_for_Ebola
Texas,37.31731,-91.96505,US,A,26008,US_soldier_who_died_after_serving_in_Liberia_tests_negative_for_Ebola
Fort Hood,31.13489,-97.77561,US,P,29589,US_soldier_who_died_after_serving_in_Liberia_tests_negative_for_Ebola
San Agustín,13.45617,-88.58978,SV,A,0,US_soldier_who_died_after_serving_in_Liberia_tests_negative_for_Ebola
South Africa,-29,24,ZA,A,57779622,US_soldier_who_died_after_serving_in_Liberia_tests_negative_for_Ebola
Liberia,6.5,-9.5,LR,A,4818977,US_soldier_who_died_after_serving_in_Liberia_tests_negative_for_Ebola
"Washington, D.C.",38.91706,-77.00025,US,A,552433,Patient_under_evaluation_with_Ebola-like_symptoms_in_Washington_D.C.
Rockville,39.084,-77.15276,US,P,66980,Patient_under_evaluation_with_Ebola-like_symptoms_in_Washington_D.C.
Washington,39.81806,-97.05086,US,P,1085,Patient_under_evaluation_with_Ebola-like_symptoms_in_Washington_D.C.
"Washington, D.C.",38.91706,-77.00025,US,A,552433,Patient_under_evaluation_with_Ebola-like_symptoms_in_Washington_D.C.
Rockville,39.084,-77.15276,US,P,66980,Patient_under_evaluation_with_Ebola-like_symptoms_in_Washington_D.C.
Maryland,39.00039,-76.74997,US,A,5624246,Patient_under_evaluation_with_Ebola-like_symptoms_in_Washington_D.C.
Nigeria,10,8,NG,A,195874740,Patient_under_evaluation_with_Ebola-like_symptoms_in_Washington_D.C.
Washington,39.81806,-97.05086,US,P,1085,Patient_under_evaluation_with_Ebola-like_symptoms_in_Washington_D.C.
"Washington, D.C.",38.91706,-77.00025,US,A,552433,Patient_under_evaluation_with_Ebola-like_symptoms_in_Washington_D.C.
Maryland,39.00039,-76.74997,US,A,5624246,Patient_under_evaluation_with_Ebola-like_symptoms_in_Washington_D.C.
Rockville,39.084,-77.15276,US,P,66980,Patient_under_evaluation_with_Ebola-like_symptoms_in_Washington_D.C.
London,8.60002,-10.84547,SL,P,0,Scottish_Ebola_nurse_Pauline_Cafferkey_%27critically_ill%27_says_Royal_Free_Hospital
Sierra Leone,8.5,-11.5,SL,A,7650154,Scottish_Ebola_nurse_Pauline_Cafferkey_%27critically_ill%27_says_Royal_Free_Hospital
London,51.50853,-0.12574,GB,P,8961989,Scottish_Ebola_nurse_Pauline_Cafferkey_%27critically_ill%27_says_Royal_Free_Hospital
Sierra Leone,8.5,-11.5,SL,A,7650154,Scottish_Ebola_nurse_Pauline_Cafferkey_%27critically_ill%27_says_Royal_Free_Hospital
Glasgow,55.86515,-4.25763,GB,P,591620,Scottish_Ebola_nurse_Pauline_Cafferkey_%27critically_ill%27_says_Royal_Free_Hospital
Krasnodar,49.8958,40.24376,RU,P,0,Bird_flu_outbreak_kills_birds_in_Krasnodar_region
Russia,60,100,RU,A,144478050,Bird_flu_outbreak_kills_birds_in_Krasnodar_region
Temryuk,45.27055,37.38716,RU,P,36546,Bird_flu_outbreak_kills_birds_in_Krasnodar_region
Russia,60,100,RU,A,144478050,Bird_flu_outbreak_kills_birds_in_Krasnodar_region
Temryuk,45.27055,37.38716,RU,P,36546,Bird_flu_outbreak_kills_birds_in_Krasnodar_region
Krasnodar,49.8958,40.24376,RU,P,0,Bird_flu_outbreak_kills_birds_in_Krasnodar_region
Anapa,44.89497,37.31623,RU,P,53600,Bird_flu_outbreak_kills_birds_in_Krasnodar_region
Russia,60,100,RU,A,144478050,Bird_flu_outbreak_kills_birds_in_Krasnodar_region
Temryuk,45.27055,37.38716,RU,P,36546,Bird_flu_outbreak_kills_birds_in_Krasnodar_region
Krasnodar,49.8958,40.24376,RU,P,0,Bird_flu_outbreak_kills_birds_in_Krasnodar_region
Anapa,44.89497,37.31623,RU,P,53600,Bird_flu_outbreak_kills_birds_in_Krasnodar_region
Russia,60,100,RU,A,144478050,Bird_flu_outbreak_kills_birds_in_Krasnodar_region
Taiwan,24.15114,120.70541,TW,A,7095464,Taiwan_culls_18000_chickens_due_to_H5N2_virus_outbreak
Taoyuan,24.895,121.24611,TW,A,2044023,Taiwan_culls_18000_chickens_due_to_H5N2_virus_outbreak
Kaohsiung,22.63429,120.36621,TW,A,2769072,Taiwan_culls_18000_chickens_due_to_H5N2_virus_outbreak
Taiwan,24.15114,120.70541,TW,A,7095464,Taiwan_culls_18000_chickens_due_to_H5N2_virus_outbreak
Taoyuan,24.895,121.24611,TW,A,2044023,Taiwan_culls_18000_chickens_due_to_H5N2_virus_outbreak
Dorset,50.75,-2.33333,GB,A,422727,Wild_Canadian_Goose_tests_positive_for_H5N1_in_England
England,52.16045,-0.70312,GB,A,56286961,Wild_Canadian_Goose_tests_positive_for_H5N1_in_England
Dorset,50.75,-2.33333,GB,A,422727,Wild_Canadian_Goose_tests_positive_for_H5N1_in_England
Pennsylvania,40.8,-77.7,US,A,12440621,%22Low_pathogenic%22_H5N1_Bird_Flu_virus_found_in_wild_ducks_in_Maryland_and_Pennsylvania
Crawford,33.8829,-83.1546,US,P,826,%22Low_pathogenic%22_H5N1_Bird_Flu_virus_found_in_wild_ducks_in_Maryland_and_Pennsylvania
Queen Anne,38.92095,-75.95522,US,P,216,%22Low_pathogenic%22_H5N1_Bird_Flu_virus_found_in_wild_ducks_in_Maryland_and_Pennsylvania
South Africa,-29,24,ZA,A,57779622,%22Low_pathogenic%22_H5N1_Bird_Flu_virus_found_in_wild_ducks_in_Maryland_and_Pennsylvania
Maryland,39.00039,-76.74997,US,A,5624246,%22Low_pathogenic%22_H5N1_Bird_Flu_virus_found_in_wild_ducks_in_Maryland_and_Pennsylvania
Pennsylvania,40.8,-77.7,US,A,12440621,%22Low_pathogenic%22_H5N1_Bird_Flu_virus_found_in_wild_ducks_in_Maryland_and_Pennsylvania
Crawford,33.8829,-83.1546,US,P,826,%22Low_pathogenic%22_H5N1_Bird_Flu_virus_found_in_wild_ducks_in_Maryland_and_Pennsylvania
Queen Anne,38.92095,-75.95522,US,P,216,%22Low_pathogenic%22_H5N1_Bird_Flu_virus_found_in_wild_ducks_in_Maryland_and_Pennsylvania
South Africa,-29,24,ZA,A,57779622,%22Low_pathogenic%22_H5N1_Bird_Flu_virus_found_in_wild_ducks_in_Maryland_and_Pennsylvania
Maryland,39.00039,-76.74997,US,A,5624246,%22Low_pathogenic%22_H5N1_Bird_Flu_virus_found_in_wild_ducks_in_Maryland_and_Pennsylvania
Canada,60.10867,-113.64258,CA,A,37058856,Avian_flu_found_in_eastern_Canada
Prince Edward Island,46.39808,-63.29844,CA,A,139089,Avian_flu_found_in_eastern_Canada
Canada,60.10867,-113.64258,CA,A,37058856,Avian_flu_found_in_eastern_Canada
Prince Edward Island,46.39808,-63.29844,CA,A,139089,Avian_flu_found_in_eastern_Canada
Canada,60.10867,-113.64258,CA,A,37058856,Avian_flu_found_in_eastern_Canada
O'Leary,46.71685,-64.23204,CA,P,0,Avian_flu_found_in_eastern_Canada
Prince Edward Island,46.39808,-63.29844,CA,A,139089,Avian_flu_found_in_eastern_Canada
Charlottetown,48.4332,-54.01481,CA,P,0,Avian_flu_found_in_eastern_Canada
Canada,60.10867,-113.64258,CA,A,37058856,Avian_flu_found_in_eastern_Canada
O'Leary,46.71685,-64.23204,CA,P,0,Avian_flu_found_in_eastern_Canada
Prince Edward Island,46.39808,-63.29844,CA,A,139089,Avian_flu_found_in_eastern_Canada
Charlottetown,48.4332,-54.01481,CA,P,0,Avian_flu_found_in_eastern_Canada
Canada,60.10867,-113.64258,CA,A,37058856,Avian_flu_found_in_eastern_Canada
O'Leary,46.71685,-64.23204,CA,P,0,Avian_flu_found_in_eastern_Canada
Prince Edward Island,46.39808,-63.29844,CA,A,139089,Avian_flu_found_in_eastern_Canada
Charlottetown,48.4332,-54.01481,CA,P,0,Avian_flu_found_in_eastern_Canada
Prince,18.72744,-72.41804,HT,P,0,Avian_flu_found_in_eastern_Canada
O'Leary,46.71685,-64.23204,CA,P,0,Avian_flu_found_in_eastern_Canada
Canada,60.10867,-113.64258,CA,A,37058856,Avian_flu_found_in_eastern_Canada
Egypt,27,30,EG,A,98423595,Avian_Flu_is_confirmed_in_Egypt
Egypt,27,30,EG,A,98423595,Avian_Flu_is_confirmed_in_Egypt
Egypt,27,30,EG,A,98423595,Avian_Flu_is_confirmed_in_Egypt
Egypt,27,30,EG,A,98423595,Avian_Flu_is_confirmed_in_Egypt
Egypt,27,30,EG,A,98423595,Avian_Flu_is_confirmed_in_Egypt
Cairo,30.06263,31.24967,EG,P,7734614,Avian_Flu_is_confirmed_in_Egypt
Egypt,27,30,EG,A,98423595,Avian_Flu_is_confirmed_in_Egypt
Cairo,30.06263,31.24967,EG,P,7734614,Avian_Flu_is_confirmed_in_Egypt
Giza,29.99776,31.05286,EG,A,3326444,Avian_Flu_is_confirmed_in_Egypt
al-Minya,31.62042,35.21848,PS,P,0,Avian_Flu_is_confirmed_in_Egypt
Cairo,30.06263,31.24967,EG,P,7734614,Avian_Flu_is_confirmed_in_Egypt
Giza,29.99776,31.05286,EG,A,3326444,Avian_Flu_is_confirmed_in_Egypt
Egypt,27,30,EG,A,98423595,Avian_Flu_is_confirmed_in_Egypt
United Kingdom,54.75844,-2.69531,GB,A,66488991,"Bird_Flu_confirmed_in_1,000_UK_turkeys"
Hambuk,41.83333,129.41667,KP,A,2327362,"Bird_Flu_confirmed_in_1,000_UK_turkeys"
Suffolk,52.16667,1,GB,A,745274,"Bird_Flu_confirmed_in_1,000_UK_turkeys"
United Kingdom,54.75844,-2.69531,GB,A,66488991,"Bird_Flu_confirmed_in_1,000_UK_turkeys"
Hambuk,41.83333,129.41667,KP,A,2327362,"Bird_Flu_confirmed_in_1,000_UK_turkeys"
Suffolk,52.16667,1,GB,A,745274,"Bird_Flu_confirmed_in_1,000_UK_turkeys"
Norfolk,52.66667,1,GB,A,892870,"Bird_Flu_confirmed_in_1,000_UK_turkeys"
United Kingdom,54.75844,-2.69531,GB,A,66488991,"Bird_Flu_confirmed_in_1,000_UK_turkeys"
Hambuk,41.83333,129.41667,KP,A,2327362,"Bird_Flu_confirmed_in_1,000_UK_turkeys"
Norfolk,52.66667,1,GB,A,892870,"Bird_Flu_confirmed_in_1,000_UK_turkeys"
Suffolk,52.16667,1,GB,A,745274,"Bird_Flu_confirmed_in_1,000_UK_turkeys"
Weybridge,51.37178,-0.45975,GB,P,19463,"Bird_Flu_confirmed_in_1,000_UK_turkeys"
Tulungagung,-7.1242,111.7757,ID,P,0,Bird_Flu_kills_40th_Indonesian
East Java,-7.7394,112.5099,ID,A,22200177,Bird_Flu_kills_40th_Indonesian
Hong Kong,22.27832,114.17469,HK,P,7482500,Bird_Flu_kills_40th_Indonesian
Tulungagung,-7.1242,111.7757,ID,P,0,Bird_Flu_kills_40th_Indonesian
Indonesia,-5,120,ID,A,267663435,Bird_Flu_kills_40th_Indonesian
East Java,-7.7394,112.5099,ID,A,22200177,Bird_Flu_kills_40th_Indonesian
Hong Kong,22.27832,114.17469,HK,P,7482500,Bird_Flu_kills_40th_Indonesian
Jakarta,-6.2182,106.8584,ID,A,9953016,Bird_flu_spreading_through_Indonesia_and_China
Indonesia,-5,120,ID,A,267663435,Bird_flu_spreading_through_Indonesia_and_China
Fujian,26.25,118,CN,A,36890000,Bird_flu_spreading_through_Indonesia_and_China
Jakarta,-6.2182,106.8584,ID,A,9953016,Bird_flu_spreading_through_Indonesia_and_China
Indonesia,-5,120,ID,A,267663435,Bird_flu_spreading_through_Indonesia_and_China
Fujian,26.25,118,CN,A,36890000,Bird_flu_spreading_through_Indonesia_and_China
China,35,105,CN,A,1392730000,Bird_flu_spreading_through_Indonesia_and_China
Jakarta,-6.2182,106.8584,ID,A,9953016,Bird_flu_spreading_through_Indonesia_and_China
Indonesia,-5,120,ID,A,267663435,Bird_flu_spreading_through_Indonesia_and_China
Fujian,26.25,118,CN,A,36890000,Bird_flu_spreading_through_Indonesia_and_China
China,35,105,CN,A,1392730000,Bird_flu_spreading_through_Indonesia_and_China
Tuzilu Kekashicun,38.87035,77.72151,CN,P,0,British_report_says_the_U.K._is_preparing_%27mass_graves%27_for_humans_if_Bird_Flu_mutates
Wales,52.5,-3.5,GB,A,3113150,British_report_says_the_U.K._is_preparing_%27mass_graves%27_for_humans_if_Bird_Flu_mutates
England,52.16045,-0.70312,GB,A,56286961,British_report_says_the_U.K._is_preparing_%27mass_graves%27_for_humans_if_Bird_Flu_mutates
Tuzilu Kekashicun,38.87035,77.72151,CN,P,0,British_report_says_the_U.K._is_preparing_%27mass_graves%27_for_humans_if_Bird_Flu_mutates
Wales,52.5,-3.5,GB,A,3113150,British_report_says_the_U.K._is_preparing_%27mass_graves%27_for_humans_if_Bird_Flu_mutates
Norfolk,52.66667,1,GB,A,892870,Chickens_at_a_Norfolk_farm_to_be_culled_after_testing_positive_for_bird_flu
England,52.16045,-0.70312,GB,A,56286961,Chickens_at_a_Norfolk_farm_to_be_culled_after_testing_positive_for_bird_flu
Norfolk,52.66667,1,GB,A,892870,Chickens_at_a_Norfolk_farm_to_be_culled_after_testing_positive_for_bird_flu
England,52.16045,-0.70312,GB,A,56286961,Chickens_at_a_Norfolk_farm_to_be_culled_after_testing_positive_for_bird_flu
Netherlands,52.25,5.75,NL,A,17231017,Chickens_at_a_Norfolk_farm_to_be_culled_after_testing_positive_for_bird_flu
Norfolk,52.66667,1,GB,A,892870,Chickens_at_a_Norfolk_farm_to_be_culled_after_testing_positive_for_bird_flu
England,52.16045,-0.70312,GB,A,56286961,Chickens_at_a_Norfolk_farm_to_be_culled_after_testing_positive_for_bird_flu
Netherlands,52.25,5.75,NL,A,17231017,Chickens_at_a_Norfolk_farm_to_be_culled_after_testing_positive_for_bird_flu
Hambuk,41.83333,129.41667,KP,A,2327362,Chickens_at_a_Norfolk_farm_to_be_culled_after_testing_positive_for_bird_flu
Norfolk,52.66667,1,GB,A,892870,Chickens_at_a_Norfolk_farm_to_be_culled_after_testing_positive_for_bird_flu
Netherlands,52.25,5.75,NL,A,17231017,Chickens_at_a_Norfolk_farm_to_be_culled_after_testing_positive_for_bird_flu
England,52.16045,-0.70312,GB,A,56286961,Chickens_at_a_Norfolk_farm_to_be_culled_after_testing_positive_for_bird_flu
Hambuk,41.83333,129.41667,KP,A,2327362,Chickens_at_a_Norfolk_farm_to_be_culled_after_testing_positive_for_bird_flu
Norfolk,52.66667,1,GB,A,892870,Chickens_at_a_Norfolk_farm_to_be_culled_after_testing_positive_for_bird_flu
Fife,56.25,-3.16667,GB,A,370330,Chickens_at_a_Norfolk_farm_to_be_culled_after_testing_positive_for_bird_flu
China,35,105,CN,A,1392730000,China_and_Europe_face_new_avian_flu_outbreaks
China,35,105,CN,A,1392730000,China_and_Europe_face_new_avian_flu_outbreaks
Russia,60,100,RU,A,144478050,China_and_Europe_face_new_avian_flu_outbreaks
